dataset,n,RF_acc,RF_rmin,RF_rmaj,CPFW_acc,CPFW_rmin,CPFW_rmaj,WRF_acc,WRF_rmin,WRF_rmaj,KNE_acc,KNE_rmin,KNE_rmaj,KNU_acc,KNU_rmin,KNU_rmaj
banknote,1372,0.9921,0.9931,0.9913,0.9942,0.9953,0.9933,0.9917,0.9923,0.9913,0.9947,0.9969,0.9930,0.9926,0.9936,0.9917
german-credit,1000,0.7539,0.3737,0.9168,0.7540,0.3726,0.9175,0.7542,0.3730,0.9176,0.7521,0.3922,0.9063,0.7541,0.3756,0.9163
tic-tac-toe,958,0.9380,0.8270,0.9970,0.9475,0.8500,0.9993,0.9395,0.8287,0.9984,0.9465,0.8567,0.9943,0.9385,0.8287,0.9970
spambase,4601,0.9537,0.9270,0.9710,0.9548,0.9293,0.9713,0.9539,0.9278,0.9708,0.9532,0.9278,0.9697,0.9538,0.9275,0.9709
eeg-eye-state,4000,0.8687,0.8234,0.9074,0.8809,0.8417,0.9144,0.8687,0.8250,0.9060,0.8910,0.8536,0.9229,0.8734,0.8309,0.9098
magic-gamma,4000,0.8626,0.7250,0.9375,0.8631,0.7268,0.9373,0.8627,0.7260,0.9372,0.8611,0.7243,0.9356,0.8623,0.7253,0.9369
yeast-me2,1484,0.9668,0.1089,0.9967,0.9670,0.1133,0.9967,0.9671,0.1156,0.9968,0.9664,0.1444,0.9950,0.9670,0.1178,0.9966
oil,937,0.9647,0.2278,0.9974,0.9647,0.2389,0.9969,0.9655,0.2444,0.9975,0.9654,0.2472,0.9973,0.9650,0.2361,0.9974
phoneme,5404,0.9046,0.8252,0.9375,0.9052,0.8253,0.9385,0.9046,0.8264,0.9370,0.9076,0.8279,0.9407,0.9056,0.8272,0.9382
kr-vs-kp,3196,0.9898,0.9856,0.9936,0.9902,0.9856,0.9943,0.9902,0.9863,0.9938,0.9911,0.9870,0.9949,0.9900,0.9858,0.9939
jm1,10885,0.8162,0.2263,0.9577,0.8170,0.2409,0.9552,0.8161,0.2277,0.9573,0.8094,0.2371,0.9467,0.8158,0.2272,0.9571
electricity,4999,0.8361,0.7614,0.8912,0.8363,0.7627,0.8906,0.8363,0.7636,0.8899,0.8373,0.7703,0.8868,0.8364,0.7637,0.8900
adult,4999,0.8507,0.6071,0.9273,0.8516,0.6114,0.9272,0.8504,0.6085,0.9265,0.8509,0.6074,0.9275,0.8506,0.6084,0.9268
musk,6598,0.9998,0.9988,1.0000,0.9999,0.9997,1.0000,1.0000,1.0000,1.0000,0.9999,0.9997,1.0000,0.9999,0.9992,1.0000
nomao,4999,0.9494,0.8986,0.9696,0.9500,0.8984,0.9707,0.9495,0.8981,0.9700,0.9498,0.9024,0.9688,0.9497,0.8990,0.9699
bank-marketing,4999,0.8971,0.3090,0.9748,0.8970,0.3105,0.9745,0.8968,0.3103,0.9743,0.8963,0.3112,0.9736,0.8970,0.3097,0.9745
breast-cancer-uci,286,0.7147,0.3603,0.8683,0.7174,0.3692,0.8683,0.7147,0.3615,0.8678,0.6961,0.3756,0.8350,0.7143,0.3679,0.8644
mammographic-mass,961,0.7873,0.7572,0.8133,0.8146,0.7920,0.8342,0.7869,0.7577,0.8120,0.7655,0.7269,0.7989,0.7812,0.7303,0.8252
wine-quality-red,1599,0.8069,0.7963,0.8162,0.8069,0.7967,0.8157,0.8064,0.7943,0.8169,0.8045,0.7952,0.8126,0.8059,0.7942,0.8161
wine-quality-white,4898,0.8307,0.6864,0.9033,0.8310,0.6871,0.9034,0.8309,0.6852,0.9041,0.8293,0.6858,0.9014,0.8308,0.6852,0.9041
thoracic-surgery,470,0.8485,0.0190,0.9936,0.8482,0.0206,0.9931,0.8473,0.0190,0.9922,0.8392,0.0333,0.9803,0.8475,0.0190,0.9925
default-credit-card,5000,0.8116,0.3665,0.9381,0.8149,0.3847,0.9372,0.8117,0.3682,0.9377,0.8088,0.3609,0.9361,0.8113,0.3680,0.9373
